Laugh,Condition,TotalDuration,VoicedDuration,MeanInterVoicingInterval,PitchLogMean,PitchLogSD,PitchLogMedian,PitchLogIQR,PitchLogCV,PitchLogTkeoMean,PitchLogTkeoSD,PitchLogTkeoPrc5,PitchLogTkeoPrc25,PitchLogTkeoPrc95,PitchLogRR,PitchLogL,PitchLogLMAX,IntensityMean,IntensitySD,IntensityMedian,IntensityIQR,IntensityCV,IntensityTkeoMean,IntensityTkeoSD,IntensityTkeoPrc5,IntensityTkeoPrc25,IntensityTkeoPrc95,IntensityRR,IntensityL,IntensityLMAX,HNRMean,HNRSD,HNRMedian,HNRIQR,HNRCV,Austria,Canada,China,EcuadorShuar,India,Indonesia,Iran,Japan,Korea,Netherlands,Perurural,Peruurban,Qatar,Samoa,Singapore,Slovakia,SouthAfrica,Spain,Turkey,USA,TruthRatio,UnvoicedDuration
39002,Spontaneous,0.798,0.39,0.485,8.840454317,0.090379409,8.868884273,0.123054901,1.29E-05,0.000187078,0.001439366,-6.22E-05,-2.60E-06,6.02E-06,0.00821768,2.29412,4,75.0352439,7.51611026,76.19,12.03,0.000224707,4.07E-06,2.16E-05,-3.88E-06,-8.76E-07,1.01E-06,0.227595,19.0411,136,0.571954644,0.459323263,0.601039687,0.913301746,2.255096022,0.69,0.5,0.7,0.3,0.35,0.62,0.54,0.79,0.88,0.79,0.35,0.73,0.52,0.29,0.65,0.48,0.26,0.74,0.69,0.79,0.583,0.408
3001,Spontaneous,1.947,0.95,0.511,8.314288975,0.186944725,8.373251007,0.32375883,5.46E-05,0.000202788,0.001487867,-0.000122358,-4.80E-06,6.43E-06,0.0123321,2.6,9,77.71109375,3.738459849,78.22,4.67,9.84E-05,3.43E-06,2.14E-05,-3.11E-06,-5.98E-07,6.62E-07,0.500534,56.8622,198,0.174517771,0.387259226,0.189554075,0.514616562,104.2961606,0.9,0.83,0.7,0.61,0.76,0.92,0.77,0.86,0.81,0.95,0.84,0.83,0.77,0.69,0.85,0.89,0.74,0.8,0.9,0.79,0.8105,0.997
3002,Spontaneous,1.212,0.54,0.272,8.873383968,0.167607662,8.808191958,0.239309263,2.42E-05,0.000221449,0.001513572,-0.000115339,-4.76E-06,1.06E-05,0.0111529,2.31579,5,81.05862319,3.510368623,82.01,3.83,0.000229372,3.54E-06,1.89E-05,-2.54E-06,-3.03E-07,6.46E-07,0.433251,31.2088,135,0.157325123,0.398914112,0.01265336,0.738754429,3.790027648,0.76,0.73,0.79,0.42,0.62,0.46,0.54,0.98,0.9,0.79,0.42,0.97,0.65,0.48,0.83,0.72,0.43,0.66,0.76,0.88,0.6895,0.672
4001,Spontaneous,2.538,1.33,0.802,8.416412691,0.189211039,8.447372563,0.302465823,8.56E-06,7.80E-05,0.000858673,-6.39E-05,-3.13E-06,3.46E-06,0.00890355,3.86611,25,78.62563851,4.39574515,78.2,7.96,9.50E-05,1.31E-06,9.61E-06,-1.38E-06,-2.95E-07,3.21E-07,0.332073,40.5861,325,0.618163814,0.551738056,0.589681868,0.796773939,4.161546633,0.52,0.47,0.55,0.3,0.26,0.38,0.41,0.61,0.69,0.67,0.16,0.53,0.52,0.14,0.73,0.48,0.19,0.71,0.55,0.58,0.4725,1.208
4002,Spontaneous,1.65,0.83,0.274,8.741345533,0.26785275,8.783391171,0.411826701,2.96E-05,0.000126992,0.001084412,-0.000107644,-4.14E-06,5.50E-06,0.0189351,5.62295,37,75.09292359,5.83731937,75.01,7.59,0.000387107,2.95E-06,1.72E-05,-3.03E-06,-4.03E-07,4.97E-07,0.267752,21.4172,129,0.37727675,0.486751275,0.254941823,0.564953554,18.82328032,0.97,0.97,0.94,0.79,0.79,0.97,0.87,0.95,0.95,0.93,0.87,0.93,0.87,0.62,0.88,0.9,0.81,0.94,0.93,1,0.894,0.82
5002,Spontaneous,2.178,1.17,0.288,8.334081248,0.228314227,8.299574228,0.281210164,3.88E-05,0.000119092,0.001017534,-0.000130867,-5.40E-06,7.16E-06,0.00733893,3.11806,13,74.46356459,5.482489017,75.44,7.96,0.000111367,2.33E-06,1.29E-05,-3.49E-06,-5.16E-07,5.98E-07,0.291474,26.8865,164,0.299877014,0.354588943,0.247142646,0.544576426,188.5724379,0.79,0.63,0.58,0.58,0.56,0.77,0.67,0.56,0.74,0.63,0.77,0.7,0.71,0.62,0.6,0.73,0.8,0.6,0.69,0.81,0.677,1.008
6002,Spontaneous,2.643,0.98,0.229,8.44577737,0.228393534,8.526538363,0.393605115,7.58E-06,6.95E-05,0.000793113,-8.11E-05,-3.17E-06,3.21E-06,0.01428,8.10364,108,76.35671554,4.063075129,76.67,5.55,4.73E-05,1.36E-06,1.25E-05,-1.71E-06,-1.54E-07,1.55E-07,0.370452,43.1842,317,0.694238984,0.729629667,0.596034145,1.000346091,3.676208183,0.14,0.27,0.55,0.18,0.32,0.15,0.26,0.16,0.31,0.19,0.13,0.27,0.29,0.19,0.3,0.15,0.16,0.34,0.17,0.13,0.233,1.663
8001,Spontaneous,1.56,0.57,0.536,8.1724831,0.194911067,8.233571746,0.384361778,7.09E-06,0.000113728,0.001181805,-5.94E-05,-3.57E-06,3.89E-06,0.0131756,4.16154,33,75.67615616,8.37284284,78.43,13.08,0.00033942,2.97E-06,1.84E-05,-3.75E-06,-5.83E-07,6.18E-07,0.257301,30.5739,129,0.5257763,0.618905301,0.349352482,1.021104778,25.593028,0.31,0.53,0.39,0.33,0.44,0.36,0.26,0.33,0.21,0.4,0.26,0.37,0.26,0.29,0.2,0.46,0.18,0.26,0.28,0.19,0.3155,0.99
396,Volitional,1.947,0.8,0.224,7.984801346,0.076268363,7.98464631,0.097070076,1.35E-05,0.00012468,0.001163246,-0.000129065,-4.86E-06,6.33E-06,0.00431751,2.33871,5,74.84154472,4.493225764,75.68,5.2725,0.000153437,2.41E-06,1.37E-05,-4.26E-06,-2.54E-07,2.71E-07,0.296202,20.0949,131,0.542514777,0.522657944,0.509227249,0.683022286,1.311954287,0.17,0.33,0.27,0.21,0.29,0.18,0.21,0.09,0.05,0.09,0.29,0.1,0.13,0.26,0.23,0.28,0.22,0.06,0.1,0.08,0.182,1.147
402,Volitional,2.181,0.85,0.227,8.33341136,0.401382986,8.251670914,0.217708773,0.00016921,0.000151364,0.001210047,-0.000132041,-9.59E-06,1.02E-05,0.0161433,3.61111,22,78.49485549,3.798958836,79.41,4.03,3.05E-05,1.81E-06,1.50E-05,-2.34E-06,-2.60E-07,2.73E-07,0.364499,29.1431,139,0.26897908,0.401320707,0.256569685,0.591312353,100.6338652,0.07,0.33,0.27,0.55,0.47,0.13,0.28,0.21,0.09,0.09,0.26,0.23,0.13,0.24,0.3,0.24,0.21,0.17,0.21,0.1,0.229,1.331
