Subject,Trial,Response,Condition,Hit,FA,Sex,CtryCode,Country,UniqSub,LaughFile,LangCode,EngFluency,MM,MM_Eng,Education,GenderSeg,CommScale,EconMode
202,22,0,0,1,0,1,1,Singapore,1202,L410-2,1,5,5,4,3,1,5,4
202,23,0,0,1,0,1,1,Singapore,1202,L413-1,1,5,5,4,3,1,5,4
202,24,0,0,1,0,1,1,Singapore,1202,L414-2,1,5,5,4,3,1,5,4
202,25,0,0,1,0,1,1,Singapore,1202,L422-2,1,5,5,4,3,1,5,4
202,26,1,0,0,1,1,1,Singapore,1202,L424-1,1,5,5,4,3,1,5,4
202,27,1,0,0,1,1,1,Singapore,1202,L428-1,1,5,5,4,3,1,5,4
202,28,1,0,0,1,1,1,Singapore,1202,L430-1,1,5,5,4,3,1,5,4
202,29,1,0,0,1,1,1,Singapore,1202,L431-1,1,5,5,4,3,1,5,4
202,30,0,0,1,0,1,1,Singapore,1202,L433-1,1,5,5,4,3,1,5,4
202,31,0,0,1,0,1,1,Singapore,1202,L435-1,1,5,5,4,3,1,5,4
202,32,0,0,1,0,1,1,Singapore,1202,L438-1,1,5,5,4,3,1,5,4
202,33,0,0,1,0,1,1,Singapore,1202,L440-1,1,5,5,4,3,1,5,4
202,34,0,0,1,0,1,1,Singapore,1202,L441-1,1,5,5,4,3,1,5,4
202,35,0,0,1,0,1,1,Singapore,1202,L500-1x,1,5,5,4,3,1,5,4
202,36,0,0,1,0,1,1,Singapore,1202,L502-1,1,5,5,4,3,1,5,4
203,1,0,1,0,0,0,1,Singapore,1203,C10 P2 17,1,5,5,4,3,1,5,4
203,2,0,1,0,0,0,1,Singapore,1203,C2 P1 3,1,5,5,4,3,1,5,4
203,3,0,1,0,0,0,1,Singapore,1203,C2 P2 6,1,5,5,4,3,1,5,4
203,4,0,1,0,0,0,1,Singapore,1203,C23 P2 3,1,5,5,4,3,1,5,4
203,5,1,1,1,0,0,1,Singapore,1203,C28 P1 1,1,5,5,4,3,1,5,4
203,6,1,1,1,0,0,1,Singapore,1203,C29 P1 9,1,5,5,4,3,1,5,4
203,7,1,1,1,0,0,1,Singapore,1203,C29 P2 10,1,5,5,4,3,1,5,4
203,8,1,1,1,0,0,1,Singapore,1203,C3 P1 11,1,5,5,4,3,1,5,4
203,9,1,1,1,0,0,1,Singapore,1203,C3 P2 21,1,5,5,4,3,1,5,4
203,10,1,1,1,0,0,1,Singapore,1203,C33 P2 3,1,5,5,4,3,1,5,4
203,11,1,1,1,0,0,1,Singapore,1203,C34 P2 6,1,5,5,4,3,1,5,4
203,12,1,1,1,0,0,1,Singapore,1203,C39 P1 17,1,5,5,4,3,1,5,4
203,13,1,1,1,0,0,1,Singapore,1203,C39 P2 10,1,5,5,4,3,1,5,4
203,14,0,1,0,0,0,1,Singapore,1203,C4 P1 16,1,5,5,4,3,1,5,4
203,15,1,1,1,0,0,1,Singapore,1203,C4 P2 9,1,5,5,4,3,1,5,4
203,16,1,1,1,0,0,1,Singapore,1203,C5 P2 5,1,5,5,4,3,1,5,4
