subject,hit_rate,country
1201,0.5277777777777778,Singapore
1202,0.5277777777777778,Singapore
1203,0.6944444444444444,Singapore
1204,0.6388888888888888,Singapore
1205,0.5833333333333334,Singapore
1206,0.6666666666666666,Singapore
1207,0.7222222222222222,Singapore
1208,0.5833333333333334,Singapore
1209,0.6666666666666666,Singapore
1210,0.7222222222222222,Singapore
1215,0.6388888888888888,Singapore
1218,0.7222222222222222,Singapore
1219,0.6111111111111112,Singapore
1222,0.6388888888888888,Singapore
1223,0.5833333333333334,Singapore
1224,0.6944444444444444,Singapore
1225,0.5833333333333334,Singapore
1226,0.5277777777777778,Singapore
1227,0.7222222222222222,Singapore
1418,0.6666666666666666,Singapore
1419,0.6111111111111112,Singapore
1420,0.7222222222222222,Singapore
1421,0.6388888888888888,Singapore
1422,0.3333333333333333,Singapore
1427,0.75,Singapore
1601,0.6944444444444444,Singapore
1602,0.5,Singapore
1801,0.6944444444444444,Singapore
1802,0.6388888888888888,Singapore
1803,0.6111111111111112,Singapore
1804,0.6666666666666666,Singapore
1805,0.6111111111111112,Singapore
1806,0.5555555555555556,Singapore
1807,0.6388888888888888,Singapore
1808,0.5277777777777778,Singapore
1809,0.6388888888888888,Singapore
1810,0.5,Singapore
1811,0.4722222222222222,Singapore
1812,0.5277777777777778,Singapore
1813,0.7222222222222222,Singapore
2001,0.6111111111111112,Spain
2002,0.6944444444444444,Spain
2003,0.6111111111111112,Spain
2004,0.6944444444444444,Spain
2005,0.75,Spain
2006,0.6388888888888888,Spain
2007,0.5555555555555556,Spain
2008,0.6111111111111112,Spain
2009,0.6944444444444444,Spain
2010,0.6388888888888888,Spain
2011,0.6666666666666666,Spain
2012,0.6666666666666666,Spain
2013,0.7222222222222222,Spain
2014,0.6388888888888888,Spain
2015,0.6388888888888888,Spain
2016,0.6944444444444444,Spain
2017,0.6944444444444444,Spain
2018,0.5833333333333334,Spain
2019,0.5555555555555556,Spain
2020,0.5555555555555556,Spain
2021,0.6388888888888888,Spain
2022,0.6944444444444444,Spain
2023,0.6111111111111112,Spain
2024,0.6666666666666666,Spain
2025,0.5833333333333334,Spain
2026,0.7222222222222222,Spain
2027,0.6666666666666666,Spain
2028,0.75,Spain
2029,0.6388888888888888,Spain
2030,0.6944444444444444,Spain
2031,0.5555555555555556,Spain
2032,0.6944444444444444,Spain
2033,0.6388888888888888,Spain
2034,0.6944444444444444,Spain
2035,0.7222222222222222,Spain
3001,0.6111111111111112,India
3002,0.7222222222222222,India
3003,0.6388888888888888,India
3004,0.6666666666666666,India
3005,0.6666666666666666,India
3006,0.6388888888888888,India
3007,0.6111111111111112,India
3008,0.5833333333333334,India
3009,0.4444444444444444,India
3010,0.5555555555555556,India
3011,0.5555555555555556,India
3012,0.6666666666666666,India
3013,0.5555555555555556,India
3014,0.6944444444444444,India
3015,0.6111111111111112,India
3016,0.6388888888888888,India
3017,0.6388888888888888,India
3018,0.6666666666666666,India
3019,0.4444444444444444,India
3020,0.5833333333333334,India
3021,0.6388888888888888,India
3022,0.5,India
3023,0.5555555555555556,India
3024,0.5833333333333334,India
3025,0.6944444444444444,India
3026,0.6388888888888888,India
3027,0.4444444444444444,India
3028,0.5,India
3029,0.5833333333333334,India
3030,0.5555555555555556,India
3031,0.5555555555555556,India
3032,0.5,India
3033,0.6666666666666666,India
3034,0.5555555555555556,India
4001,0.6111111111111112,Austria
4002,0.5277777777777778,Austria
4003,0.6944444444444444,Austria
4004,0.6388888888888888,Austria
4005,0.6388888888888888,Austria
4006,0.7222222222222222,Austria
4007,0.8333333333333334,Austria
4008,0.7222222222222222,Austria
4009,0.7222222222222222,Austria
4010,0.6666666666666666,Austria
4011,0.7777777777777778,Austria
4012,0.6388888888888888,Austria
4013,0.6388888888888888,Austria
4014,0.6944444444444444,Austria
4015,0.6666666666666666,Austria
4016,0.5833333333333334,Austria
4017,0.6388888888888888,Austria
4018,0.75,Austria
4019,0.6388888888888888,Austria
4020,0.6388888888888888,Austria
4021,0.6388888888888888,Austria
4022,0.7222222222222222,Austria
4023,0.7222222222222222,Austria
4024,0.6666666666666666,Austria
4025,0.6944444444444444,Austria
4026,0.7222222222222222,Austria
4027,0.6666666666666666,Austria
4028,0.6111111111111112,Austria
4029,0.6388888888888888,Austria
5001,0.5555555555555556,South Africa/Zulu
5002,0.5833333333333334,South Africa/Zulu
5003,0.6666666666666666,South Africa/Zulu
5004,0.5555555555555556,South Africa/Zulu
5005,0.6388888888888888,South Africa/Zulu
5006,0.5833333333333334,South Africa/Zulu
5007,0.6111111111111112,South Africa/Zulu
5008,0.5,South Africa/Zulu
5009,0.4722222222222222,South Africa/Zulu
5010,0.6388888888888888,South Africa/Zulu
5011,0.5555555555555556,South Africa/Zulu
5012,0.4722222222222222,South Africa/Zulu
5013,0.6388888888888888,South Africa/Zulu
5014,0.6388888888888888,South Africa/Zulu
5015,0.6388888888888888,South Africa/Zulu
5016,0.5555555555555556,South Africa/Zulu
5017,0.5555555555555556,South Africa/Zulu
5018,0.6666666666666666,South Africa/Zulu
5019,0.5277777777777778,South Africa/Zulu
5020,0.5833333333333334,South Africa/Zulu
5021,0.6944444444444444,South Africa/Zulu
5022,0.5,South Africa/Zulu
5023,0.5833333333333334,South Africa/Zulu
5024,0.5833333333333334,South Africa/Zulu
5025,0.6944444444444444,South Africa/Zulu
5026,0.5833333333333334,South Africa/Zulu
5027,0.6944444444444444,South Africa/Zulu
5028,0.5833333333333334,South Africa/Zulu
5029,0.6388888888888888,South Africa/Zulu
5030,0.6111111111111112,South Africa/Zulu
